Song Name,Language,Hit Year,Song Artist,Source,Decade
Lonely boy,EN,1960,Paul Anka,Discomania - SER,1960
La montaña,ES,1960,Lucho Gatica,Discomania - SER,1960
"Ola, ola, ola (Mare nostrum)",ES,1960,Sara Montiel,Discomania - SER,1960
"Pity, pity",EN,1960,Paul Anka,Discomania - SER,1960
Tom Pillibi,FR,1960,Jacqueline Boyer,Discomania - SER,1960
locamente te amare,ES,1960,"Mina, Los cinco latinos, Duo Dinamico",Discomania - SER,1960
"Sing, sing, sing",EN,1960,Paul Anka,Discomania - SER,1960
Eres diferente,ES,1960,Los cinco latinos,Discomania - SER,1960
Adam And Eve,ES,1960,Paul Anka,Discomania - SER,1960
Greenfields,EN,1961,The brothers four,Discomania - SER,1960
Eres diferente,ES,1961,Carmen Sevilla,Discomania - SER,1960
The Green Leaves Of Summer,EN,1961,The brothers four,Discomania - SER,1960
Quince años tiene mi amor,ES,1961,Duo dinamico,Discomania - SER,1960
My home town,EN,1961,Paul Anka,Discomania - SER,1960
Poesia en movimiento,ES,1961,Duo dinamico,Discomania - SER,1960
Exodus,ES,1961,Duo dinamico,Discomania - SER,1960
Tonight my love tonight,EN,1961,Paul Anka,Discomania - SER,1960
La novia,ES,1961,Antonio Prieto,Discomania - SER,1960
Quisiera ser,ES,1961,Duo dinamico,Discomania - SER,1960
moliendo cafe,ES,1961,lucho gatica,Discomania - SER,1960
Tus ojos grises,ES,1961,Aleco Pandas,Discomania - SER,1960
Mari Carmen,ES,1962,Duo dinamico,Discomania - SER,1960
Dance on little girl,EN,1962,Paul Anka,Discomania - SER,1960
Love me warm and tender,EN,1962,Paul Anka,Discomania - SER,1960
Perdoname,ES,1962,Duo dinamico,Discomania - SER,1960
A steel guitar and a glass of wine,EN,1962,Paul Anka,Discomania - SER,1960
Et maintenant,FR,1962,Gilbert Becaud,Discomania - SER,1960
Cuando calienta el sol,ES,1962,Hermanos Rigual,Discomania - SER,1960
Balada gitana,ES,1963,Duo dinamico,Discomania - SER,1960
Eso Beso (That Kiss!),ES,1963,Paul Anka,Discomania - SER,1960
Maria (West side story),EN,1963,Andy Williams,Discomania - SER,1960
500 Miles Away From Home,EN,1963,"gelu,bobbybare",Discomania - SER,1960
I will follow him,EN,1963,Ennio sangiusto,Discomania - SER,1960
Dame felicidad,ES,1963,Enrique Guzman,HIT PARADE NACIONAL “Revista del Disco” RNE,1960
Tell him,EN,1963,The exciters,HIT PARADE NACIONAL “Revista del Disco” RNE,1960
Cuore,IT,1963,Rita Pavone,HIT PARADE NACIONAL “Revista del Disco” RNE,1960
Dominique,FR,1964,Singing nun,HIT PARADE NACIONAL “Revista del Disco” RNE,1960
If I had a hammer,EN,1964,Luis Aguilé,HIT PARADE NACIONAL “Revista del Disco” RNE,1960
Non ho l'eta (per amarti),IT,1964,Gigliola Cinquetti,Los Superventas,1960
La mamma,ES,1964,Los machucambos,Los Superventas,1960
Twist and shout,EN,1964,The beatles,Los Superventas,1960
si je chante,FR,1964,Sylvie Vartan,ESCALA DE ÉXITOS (Revista Lecturas),1960
Tu serás mi baby (Be my baby),ES,1964,Surfs,ESCALA DE ÉXITOS (Revista Lecturas),1960
Ciudad solitaria,ES,1964,Mina,ESCALA DE ÉXITOS (Revista Lecturas),1960
Anyone who had a heart,EN,1964,Cilla Black,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
A hard day's night,EN,1964,The beatles,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
Ma vie,FR,1964,Alain Barriere,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
Que me importa del mundo,ES,1964,Rita Pavone,Discomania - SER,1960
The house of the rising sun,EN,1964,The animals,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
The little drummer boy,EN,1964,Ray Conniff,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
Mi mundo,ES,1965,Richard Anthony,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
No soy digno de ti,ES,1965,Gianni Morandi,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
La yenka,ES,1965,Jonny & Charley,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
Flamenco,ES,1965,Los brincos,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
Downtown,EN,1965,Petula Clark,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
Venecia sin ti,ES,1965,Charles Aznavour,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
"Poupee de cire, poupee de son",FR,1965,France Gall,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
"Se piangi, se ridi",IT,1965,Bobby Solo,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
La primera vez,ES,1965,Guy Mardel,CLASIFICACIÓN NACIONAL DEL DISCO (Tele-radio),1960
